code,state,city,start,end,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sum
13876,AL,IRMINGHAM,01/01/1930,31/12/2014,0.8,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6
03856,AL,UNTSVILLE,01/09/1958,31/12/2014,1.5,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,3.6
13894,AL,OBILE,01/01/1948,31/12/2014,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4
13895,AL,ONTGOMERY,01/01/1948,31/12/2014,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
26451,AK,NCHORAGE,01/02/1953,31/12/2014,10.5,12.3,10.1,5.3,0.3,0.0,0.0,0.0,0.3,7.4,12.1,16.2,74.5
25308,AK,NNETTE,01/01/1941,31/12/2014,10.8,9.3,8.0,1.9,0.1,0.0,0.0,0.0,0.0,0.1,3.5,9.9,43.6
27502,AK,ARROW,01/01/1902,31/12/2014,2.6,2.6,2.1,2.8,2.3,0.6,0.5,0.7,3.8,7.8,4.8,3.2,33.8
26615,AK,ETHEL,01/09/1923,31/12/2014,8.1,7.3,8.6,5.1,1.6,0.1,0.0,0.0,0.4,3.9,8.9,10.1,54.1
26533,AK,ETTLES,01/05/1951,31/11/2014,12.5,11.6,9.3,6.6,1.2,0.0,0.0,0.0,2.1,12.0,14.3,14.9,84.5
26415,AK,IG DELTA,01/06/1917,31/11/1997,5.6,5.2,4.2,2.8,0.6,0.4,0.0,0.0,1.6,9.2,8.4,5.8,43.8
25624,AK,OLD BAY,01/03/1950,31/12/2014,12.4,11.8,12.0,6.6,1.6,0.0,0.0,0.0,0.0,2.9,8.1,11.4,66.8
26411,AK,AIRBANKS,01/12/1929,31/12/2014,11.1,8.5,6.4,3.2,0.7,0.0,0.0,T,1.1,10.1,11.7,11.5,64.3
26425,AK,ULKANA,01/03/1909,31/07/2001,7.7,7.2,5.1,2.8,0.6,0.0,0.0,0.1,1.1,7.8,8.7,10.0,51.1
25507,AK,OMER,01/09/1932,31/11/1997,9.5,11.3,9.2,2.8,0.3,0.0,0.0,0.0,0.0,2.1,7.4,12.1,54.7
25309,AK,UNEAU,01/11/1936,31/12/2014,26.2,18.6,13.8,2.6,0.0,0.0,0.0,0.0,0.0,1.0,12.5,21.6,96.3
25503,AK,ING SALMON,01/02/1942,31/12/2014,8.3,6.9,7.7,4.4,0.9,0.0,0.0,0.0,0.0,3.2,6.5,9.3,47.2
25501,AK,ODIAK,01/01/1949,31/12/2014,15.7,15.9,14.9,7.5,0.5,0.0,0.0,0.0,0.0,1.8,6.4,13.8,76.5
26616,AK,OTZEBUE,01/05/1929,31/12/2014,7.6,7.7,5.8,5.2,1.4,0.1,0.0,0.0,1.0,6.1,8.7,8.7,52.3
26510,AK,CGRATH,01/07/1939,31/12/2014,14.7,12.3,11.1,6.3,0.8,T,0.0,0.0,1.1,9.6,16.5,18.5,90.9
26617,AK,OME,01/10/1906,31/12/2014,10.8,9.8,8.8,6.8,2.1,0.2,0.0,0.0,0.4,4.9,10.3,10.9,65.0
25713,AK,T. PAUL ISLAND,01/01/1949,31/12/2014,12.4,10.6,10.1,6.1,1.8,0.1,0.0,0.0,0.0,2.5,7.1,10.3,61.0
26528,AK,ALKEETNA,01/08/1918,31/12/1997,20.0,20.1,19.5,8.6,0.8,0.0,0.0,0.0,0.6,10.7,18.2,22.4,120.9
26442,AK,ALDEZ,01/06/1917,31/02/2014,59.2,53.0,42.2,17.6,2.2,0.0,0.0,0.0,0.3,8.8,35.3,60.8,279.4
25339,AK,AKUTAT,01/04/1917,31/12/2014,33.0,32.2,32.0,12.3,0.9,0.0,0.0,0.0,0.0,4.0,18.8,31.6,164.8
03103,AZ,LAGSTAFF,01/01/1893,31/12/2014,20.0,16.2,17.5,7.3,1.6,0.0,0.0,0.0,0.1,1.7,8.5,15.5,88.4
23183,AZ,HOENIX,01/07/1933,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23160,AZ,UCSON,01/06/1946,31/12/2014,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,1.1
23194,AZ,INSLOW,01/10/1898,31/06/2010,2.6,1.8,1.7,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.9,3.5,11.2
13964,AR,ORT SMITH,01/10/1945,31/12/2014,2.3,1.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,5.6
13963,AR,ITTLE ROCK,01/04/1938,31/12/2014,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,4.8
23155,CA,AKERSFIELD,01/10/1937,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23157,CA,ISHOP,01/09/1943,31/12/2014,3.9,1.3,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,7.5
23225,CA,LUE CANYON,01/03/1940,31/11/1995,46.7,43.5,50.6,27.0,7.8,0.6,0.0,0.0,0.4,2.7,23.6,38.8,241.7
93193,CA,RESNO,01/01/1948,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23129,CA,ONG BEACH,01/01/1949,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93134,CA,OS ANGELES,01/06/1913,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24257,CA,EDDING,01/09/1986,31/11/2014,1.3,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.8
23232,CA,ACRAMENTO,01/12/1941,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23188,CA,AN DIEGO,01/07/1939,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23272,CA,AN FRANCISCO,01/01/1921,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23190,CA,ANTA BARBARA,01/01/1941,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23273,CA,ANTA MARIA,01/01/1948,31/11/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23237,CA,TOCKTON,01/10/1948,31/11/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23061,CO,LAMOSA,01/01/1948,31/12/2014,4.2,4.2,5.4,4.1,1.4,0.0,0.0,0.0,0.1,2.7,4.1,5.2,31.4
93037,CO,OLORADO SPRINGS,01/04/1948,31/12/2014,5.0,4.7,8.2,5.9,1.2,0.0,0.0,0.0,0.8,2.9,4.8,5.3,38.8
23062,CO,ENVER,01/01/1948,31/12/2014,7.5,7.3,12.0,8.1,1.6,0.0,0.0,0.0,1.4,4.0,8.2,7.7,57.8
23066,CO,RAND JUNCTION,01/01/1900,31/12/2014,5.9,3.8,3.0,0.9,0.1,0.0,0.0,0.0,0.0,0.4,2.4,5.2,21.7
93058,CO,UEBLO,01/07/1954,31/12/2014,5.8,4.1,6.1,3.5,0.3,0.0,0.0,0.0,0.5,1.3,4.0,5.2,30.8
94702,CT,RIDGEPORT,01/07/1948,31/12/2014,8.2,8.7,5.2,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.7,5.5,29.0
14740,CT,ARTFORD,01/01/1949,31/12/2014,13.4,12.5,8.8,1.2,0.0,0.0,0.0,0.0,0.0,0.2,1.8,10.1,48.0
13781,DE,ILMINGTON,01/01/1948,31/12/2014,6.7,7.2,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.6,21.4
93738,DC,ASHINGTON DULLES,01/12/1962,31/12/2014,6.9,7.3,3.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.9,22.5
13743,DC,ASHINGTON NAT'L,01/07/1945,31/12/2014,5.2,5.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.9,16.4
12834,FL,AYTONA BEACH,01/01/1948,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12835,FL,ORT MYERS,01/06/1913,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12816,FL,AINESVILLE,01/05/1960,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13889,FL,ACKSONVILLE,01/05/1938,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12836,FL,EY WEST,01/01/1948,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12839,FL,IAMI,01/01/1948,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12815,FL,RLANDO,01/06/1952,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13899,FL,ENSACOLA,01/09/1948,31/12/2014,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
93805,FL,ALLAHASSEE,01/01/1948,31/12/2014,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
12842,FL,AMPA,01/02/1939,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12843,FL,ERO BEACH,01/07/1944,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12844,FL,EST PALM BEACH,01/12/1938,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13873,GA,THENS,01/12/1945,31/12/2014,0.8,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2.3
13874,GA,TLANTA,01/01/1930,31/12/2014,0.9,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0
03820,GA,UGUSTA,01/12/1946,31/12/2014,0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0
93842,GA,OLUMBUS,01/01/1948,31/12/2014,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
03813,GA,ACON,01/12/1948,31/12/2014,0.3,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
03822,GA,AVANNAH,01/01/1948,31/12/2014,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3
21504,HI,ILO,01/10/1949,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22521,HI,ONOLULU,01/10/1949,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22516,HI,AHULUI,01/06/1915,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22536,HI,IHUE,01/02/1950,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24131,ID,OISE,01/01/1940,31/12/2014,6.3,3.5,1.7,0.5,0.1,0.0,0.0,0.0,0.0,0.1,2.2,5.8,20.2
24149,ID,EWISTON,01/01/1948,31/12/2014,5.3,2.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.7,3.9,14.8
24156,ID,OCATELLO,01/01/1939,31/12/2014,9.1,6.6,5.5,3.6,0.5,0.0,0.0,0.0,0.0,1.7,4.6,8.6,40.2
94846,IL,HICAGO,01/11/1958,31/12/2014,11.6,8.9,6.4,1.4,0.0,0.0,0.0,0.0,0.0,0.3,1.6,8.4,38.6
14923,IL,OLINE,01/06/1943,31/12/2014,9.1,7.2,5.6,1.2,0.0,0.0,0.0,0.0,0.0,0.2,2.1,8.3,33.7
14842,IL,EORIA,01/05/1943,31/12/2014,6.9,5.9,3.8,0.7,T,0.0,0.0,0.0,0.0,0.0,1.7,6.2,25.2
94822,IL,OCKFORD,01/01/1951,31/12/2014,9.4,7.7,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,2.3,9.5,36.0
93822,IL,PRINGFIELD,01/01/1901,31/12/2014,5.8,5.6,3.8,0.5,0.0,0.0,0.0,0.0,0.0,0.1,1.2,4.7,21.7
93817,IN,VANSVILLE,01/01/1948,31/12/2014,4.1,3.5,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.5,2.9,13.3
14827,IN,ORT WAYNE,01/10/1939,31/12/2014,9.0,7.5,4.8,1.2,0.0,0.0,0.0,0.0,0.0,0.2,2.7,7.2,32.6
93819,IN,NDIANAPOLIS,01/01/1948,31/12/2014,8.1,6.3,3.5,0.4,0.0,0.0,0.0,0.0,0.0,0.2,1.5,5.9,25.9
14848,IN,OUTH BEND,01/12/1893,31/12/2014,17.5,12.5,8.1,1.9,0.2,0.0,0.0,0.0,0.0,0.9,6.6,14.8,62.5
14933,IA,ES MOINES,01/07/1945,31/12/2014,8.5,8.2,6.0,1.8,0.1,0.0,0.0,0.0,0.0,0.3,2.8,7.4,35.1
94908,IA,UBUQUE,01/02/1951,31/12/2014,9.7,9.0,8.2,2.1,0.1,0.0,0.0,0.0,0.0,0.2,3.1,10.8,43.2
14943,IA,IOUX CITY,01/01/1948,31/12/2014,7.0,6.5,7.3,1.8,0.0,0.0,0.0,0.0,0.0,0.7,3.3,6.8,33.4
94910,IA,ATERLOO,01/04/1950,31/12/2014,7.8,7.1,5.3,1.5,0.0,0.0,0.0,0.0,0.0,0.2,2.8,8.3,33.0
13984,KS,ONCORDIA,01/01/1893,31/12/2014,4.4,5.2,4.1,0.9,0.0,0.0,0.0,0.0,0.0,0.2,1.7,4.0,20.5
13985,KS,ODGE CITY,01/01/1948,31/12/2014,4.3,4.2,4.8,0.9,0.0,0.0,0.0,0.0,0.0,0.3,1.9,3.6,20.0
23065,KS,OODLAND,01/09/1895,31/12/2014,4.7,5.2,8.1,3.7,0.5,0.1,0.0,0.0,0.2,1.8,3.9,5.4,33.6
13996,KS,OPEKA,01/08/1946,31/12/2014,5.4,5.0,3.2,0.4,0.0,0.0,0.0,0.0,0.0,0.1,1.0,4.8,19.9
03928,KS,ICHITA,01/12/1953,31/12/2014,4.0,4.3,2.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.5,15.7
03889,KY,ACKSON,01/01/1981,31/12/2014,7.2,6.7,3.4,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.6,4.5,23.4
93820,KY,EXINGTON,01/11/1887,31/12/2014,5.5,4.6,2.8,0.3,0.1,0.0,0.0,0.0,0.0,0.0,1.0,3.2,17.5
93821,KY,OUISVILLE,01/01/1948,31/12/2014,5.2,4.4,2.7,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.8,2.4,15.7
03816,KY,ADUCAH,01/08/1949,31/12/2014,3.2,2.9,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.7,9.6
13970,LA,ATON ROUGE,01/01/1930,31/12/2014,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
03937,LA,AKE CHARLES,01/11/1961,31/12/2014,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
12916,LA,EW ORLEANS,01/01/1948,31/12/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
13957,LA,HREVEPORT,01/07/1939,31/12/2014,0.8,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.5
14607,ME,ARIBOU,01/06/1939,31/12/2014,24.0,22.7,19.9,8.2,0.6,0.0,0.0,0.0,0.0,1.8,11.4,23.9,112.5
14764,ME,ORTLAND,01/12/1940,31/12/2014,19.1,17.0,12.8,2.7,0.1,0.0,0.0,0.0,0.0,0.2,2.8,14.5,69.2
93721,MD,ALTIMORE,01/07/1939,31/12/2014,5.7,6.9,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.2,19.8
14753,MA,LUE HILL,01/04/1893,31/12/2014,16.2,16.1,11.9,3.0,0.1,0.0,0.0,0.0,0.0,0.4,2.7,11.3,61.7
14739,MA,OSTON,01/01/1936,31/12/2014,13.0,11.8,7.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2,8.1,43.0
94746,MA,ORCESTER,01/06/1948,31/12/2014,16.7,17.1,12.6,2.8,0.2,0.0,0.0,0.0,0.0,0.7,2.9,12.7,65.7
94849,MI,LPENA,01/11/1916,31/12/2014,19.3,15.0,12.8,4.4,0.4,0.0,0.0,0.0,0.0,0.6,6.9,16.7,76.1
94847,MI,ETROIT,01/12/1958,31/12/2014,12.0,10.4,6.7,1.6,0.0,0.0,0.0,0.0,0.0,0.1,2.3,9.8,42.9
14826,MI,LINT,01/05/1948,31/12/2014,13.0,10.9,7.3,2.3,0.0,0.0,0.0,0.0,0.0,0.3,3.7,10.7,48.2
94860,MI,RAND RAPIDS,01/12/1963,31/12/2014,21.9,14.6,9.2,2.3,0.0,0.0,0.0,0.0,0.0,0.5,7.6,19.6,75.7
94814,MI,OUGHTON LAKE,01/07/1964,31/12/2014,18.3,13.5,10.5,4.1,0.2,0.0,0.0,0.0,0.0,0.7,9.0,16.0,72.3
14836,MI,ANSING,01/01/1948,31/12/2014,13.4,10.9,7.7,2.6,0.0,0.0,0.0,0.0,0.0,0.4,4.7,11.9,51.6
14840,MI,USKEGON,01/10/1896,31/12/2014,25.7,15.9,9.6,2.1,0.1,0.0,0.0,0.0,0.0,0.4,6.6,19.7,80.1
14847,MI,AULT STE. MARIE,01/01/1948,31/12/2014,30.5,19.5,14.3,5.9,0.4,0.0,0.0,0.0,0.1,2.0,15.6,30.5,118.8
14913,MN,ULUTH,01/01/1948,31/12/2014,17.6,12.6,14.3,7.7,0.7,0.0,0.0,0.0,0.1,1.7,12.1,16.8,83.6
14918,MN,NTERNATIONAL FALLS,01/09/1907,31/12/2014,13.4,10.0,9.0,6.0,0.6,0.0,0.0,0.0,0.1,1.9,11.1,12.8,64.9
14922,MN,INNEAPOLIS-ST.PAUL,01/05/1938,31/12/2014,10.4,8.4,10.3,2.8,0.1,0.0,0.0,0.0,0.0,0.5,7.0,10.1,49.6
14925,MN,OCHESTER,01/01/1893,31/12/2014,9.8,7.9,9.1,2.9,0.2,0.0,0.0,0.0,0.0,0.5,4.8,9.6,44.8
14926,MN,AINT CLOUD,01/12/1904,31/12/2014,9.0,7.6,9.3,3.1,0.1,0.0,0.0,0.0,0.0,0.6,6.9,8.3,44.9
03940,MS,ACKSON,01/01/1951,31/12/2014,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0
13865,MS,ERIDIAN,01/06/1944,31/12/2014,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9
93862,MS,UPELO,01/12/1962,31/12/2014,0.9,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0
03945,MO,OLUMBIA,01/11/1969,31/12/2014,6.2,6.2,2.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.4,21.6
03947,MO,ANSAS CITY,01/10/1972,31/12/2014,5.4,5.8,2.4,0.6,0.0,0.0,0.0,0.0,0.0,0.2,1.2,4.4,20.0
13994,MO,T. LOUIS,01/05/1938,31/12/2014,5.7,4.4,3.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.8,19.4
13995,MO,PRINGFIELD,01/08/1940,31/12/2014,4.7,4.1,3.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.3,17.0
24033,MT,ILLINGS,01/01/1948,31/12/2014,10.3,7.7,10.0,8.2,1.6,0.0,0.0,0.0,1.0,4.0,6.8,9.0,58.6
